"Interestingness","Cosine","Cosine","Cosine","Cosine","Cosine","Cosine","Coherence","Coherence","Coherence","Coherence","Coherence","Coherence","AllConf","AllConf","AllConf","AllConf","AllConf","AllConf","MaxConf","MaxConf","MaxConf","MaxConf","MaxConf","MaxConf","IR","IR","IR","IR","IR","IR","Kulczynski","Kulczynski","Kulczynski","Kulczynski","Kulczynski","Kulczynski"
"Thresold","0.001","0.001","0.001","0.045","0.045","0.045","0.001","0.001","0.001","0.045","0.045","0.045","0.001","0.001","0.001","0.045","0.045","0.045","0.001","0.001","0.001","0.045","0.045","0.045","0.001","0.001","0.001","0.045","0.045","0.045","0.001","0.001","0.001","0.045","0.045","0.045"
"Parts-of-speech","NN","JJ","VB","NN","JJ","VB","NN","JJ","VB","NN","JJ","VB","NN","JJ","VB","NN","JJ","VB","NN","JJ","VB","NN","JJ","VB","NN","JJ","VB","NN","JJ","VB","NN","JJ","VB","NN","JJ","VB"
"nGram_1-numRule_10000-supA_1.0-supB_1.0-condAB_0.001-condBA_0.001",,,,,,,,,"0.0",,,"0.0",,,,,,,,,,,,,,,,,,,,,,,,
"nGram_1-numRule_10000-supA_1.0-supB_1.0-condAB_0.001-condBA_0.05",,,,,,,,,"0.0",,,"0.0",,,,,,,,,,,,,,,,,,,,,,,,
"nGram_1-numRule_10000-supA_1.0-supB_1.0-condAB_0.05-condBA_0.001",,,,,,,,,"0.0",,,"0.0",,,,,,,,,,,,,,,,,,,,,,,,
"nGram_1-numRule_10000-supA_1.0-supB_1.0-condAB_0.05-condBA_0.05",,,,,,,,,"0.0",,,"0.0",,,,,,,,,,,,,,,,,,,,,,,,
"nGram_1-numRule_10000-supA_1.0-supB_10.0-condAB_0.001-condBA_0.001",,,,,,,,,"0.0",,,"0.0",,,,,,,,,,,,,,,,,,,,,,,,
"nGram_1-numRule_10000-supA_1.0-supB_10.0-condAB_0.001-condBA_0.05",,,,,,,,,"0.0",,,"0.0",,,,,,,,,,,,,,,,,,,,,,,,
"nGram_1-numRule_10000-supA_1.0-supB_10.0-condAB_0.05-condBA_0.001",,,,,,,,,"0.0",,,"0.0",,,,,,,,,,,,,,,,,,,,,,,,
"nGram_1-numRule_10000-supA_1.0-supB_10.0-condAB_0.05-condBA_0.05",,,,,,,,,"0.0",,,"0.0",,,,,,,,,,,,,,,,,,,,,,,,
