Interestingness,Coherence,Coherence,Coherence,Coherence,Coherence,Coherence,AllConf,AllConf,AllConf,AllConf,AllConf,AllConf,MaxConf,MaxConf,MaxConf,MaxConf,MaxConf,MaxConf,Kulczynski,Kulczynski,Kulczynski,Kulczynski,Kulczynski,Kulczynski,Cosine,Cosine,Cosine,Cosine,Cosine,Cosine,IR,IR,IR,IR,IR,IR
Thresold,0.001,0.001,0.001,0.045,0.045,0.045,0.001,0.001,0.001,0.045,0.045,0.045,0.001,0.001,0.001,0.045,0.045,0.045,0.001,0.001,0.001,0.045,0.045,0.045,0.001,0.001,0.001,0.045,0.045,0.045,0.001,0.001,0.001,0.045,0.045,0.045
Parts-of-speech,NN,JJ,VB,NN,JJ,VB,NN,JJ,VB,NN,JJ,VB,NN,JJ,VB,NN,JJ,VB,NN,JJ,VB,NN,JJ,VB,NN,JJ,VB,NN,JJ,VB,NN,JJ,VB,NN,JJ,VB
nGram_1-numRule_1000-supA_10.0-supB_100.0-condAB_0.1-condBA_0.001,0.0795699,0.625,0.00317461,0.0795699,0.625,0.00317461,0.08438819,0.625,0.00294118,0.08438819,0.625,0.00294118,,,,,,,,,,,,,,,,,,,,,,,,
nGram_1-numRule_1000-supA_10.0-supB_100.0-condAB_0.1-condBA_0.8,0.0795699,0.625,0.00317461,0.0795699,0.625,0.00317461,0.08438819,0.625,0.00294118,0.08438819,0.625,0.00294118,,,,,,,,,,,,,,,,,,,,,,,,
nGram_1-numRule_1000-supA_10.0-supB_100.0-condAB_0.8-condBA_0.001,0.04,1,0,0.04,1,0,0.04,1,0,0.04,1,0,,,,,,,,,,,,,,,,,,,,,,,,
nGram_1-numRule_1000-supA_10.0-supB_100.0-condAB_0.8-condBA_0.8,0.04,1,0,0.04,1,0,0.04,1,0,0.04,1,0,,,,,,,,,,,,,,,,,,,,,,,,
nGram_1-numRule_1000-supA_10.0-supB_20.0-condAB_0.1-condBA_0.001,0.08514784,0.24052906,0.00181432,0.08514784,0.24052906,0.00181432,0.08847586,0.24052906,0.00182084,0.08847586,0.24052906,0.00182084,,,,,,,,,,,,,,,,,,,,,,,,
nGram_1-numRule_1000-supA_10.0-supB_20.0-condAB_0.1-condBA_0.8,0.08514784,0.24052906,0.00181432,0.08514784,0.24052906,0.00181432,0.08847586,0.24052906,0.00182084,0.08847586,0.24052906,0.00182084,,,,,,,,,,,,,,,,,,,,,,,,
nGram_1-numRule_1000-supA_10.0-supB_20.0-condAB_0.8-condBA_0.001,0.14024391,0.07142858,0,0.14024391,0.07142858,0,0.14024391,0.07142858,0,0.14024391,0.07142858,0,,,,,,,,,,,,,,,,,,,,,,,,
nGram_1-numRule_1000-supA_10.0-supB_20.0-condAB_0.8-condBA_0.8,0.14024391,0.07142858,0,0.14024391,0.07142858,0,0.14024391,0.07142858,0,0.14024391,0.07142858,0,,,,,,,,,,,,,,,,,,,,,,,,
